Postnummer,Poststed,Kommunenummer,Kommunenavn,Type,Fylkesnavn,Fylkesnummer,Kommunenummer2023
0001,OSLO,0301,OSLO,P,Oslo,03,0301
0010,OSLO,0301,OSLO,B,Oslo,03,0301
0015,OSLO,0301,OSLO,B,Oslo,03,0301
0018,OSLO,0301,OSLO,S,Oslo,03,0301
0021,OSLO,0301,OSLO,P,Oslo,03,0301
0024,OSLO,0301,OSLO,P,Oslo,03,0301
0026,OSLO,0301,OSLO,B,Oslo,03,0301
0028,OSLO,0301,OSLO,P,Oslo,03,0301
0030,OSLO,0301,OSLO,P,Oslo,03,0301
0032,OSLO,0301,OSLO,P,Oslo,03,0301
0033,OSLO,0301,OSLO,P,Oslo,03,0301
0034,OSLO,0301,OSLO,P,Oslo,03,0301
0037,OSLO,0301,OSLO,B,Oslo,03,0301
0040,OSLO,0301,OSLO,P,Oslo,03,0301
0045,OSLO,0301,OSLO,S,Oslo,03,0301
0046,OSLO,0301,OSLO,S,Oslo,03,0301
0047,OSLO,0301,OSLO,S,Oslo,03,0301
0048,OSLO,0301,OSLO,P,Oslo,03,0301
0050,OSLO,0301,OSLO,G,Oslo,03,0301
0055,OSLO,0301,OSLO,P,Oslo,03,0301
0101,OSLO,0301,OSLO,P,Oslo,03,0301
0102,OSLO,0301,OSLO,P,Oslo,03,0301
0103,OSLO,0301,OSLO,P,Oslo,03,0301
0104,OSLO,0301,OSLO,P,Oslo,03,0301
0105,OSLO,0301,OSLO,P,Oslo,03,0301
0106,OSLO,0301,OSLO,P,Oslo,03,0301
0107,OSLO,0301,OSLO,P,Oslo,03,0301
0109,OSLO,0301,OSLO,P,Oslo,03,0301
0110,OSLO,0301,OSLO,P,Oslo,03,0301
0111,OSLO,0301,OSLO,P,Oslo,03,0301
0112,OSLO,0301,OSLO,P,Oslo,03,0301
0113,OSLO,0301,OSLO,P,Oslo,03,0301
0114,OSLO,0301,OSLO,P,Oslo,03,0301
0115,OSLO,0301,OSLO,P,Oslo,03,0301
0116,OSLO,0301,OSLO,P,Oslo,03,0301
0117,OSLO,0301,OSLO,P,Oslo,03,0301
0118,OSLO,0301,OSLO,P,Oslo,03,0301
0119,OSLO,0301,OSLO,P,Oslo,03,0301
0120,OSLO,0301,OSLO,P,Oslo,03,0301
0121,OSLO,0301,OSLO,P,Oslo,03,0301
0122,OSLO,0301,OSLO,P,Oslo,03,0301
0123,OSLO,0301,OSLO,P,Oslo,03,0301
0124,OSLO,0301,OSLO,P,Oslo,03,0301
0125,OSLO,0301,OSLO,P,Oslo,03,0301
0129,OSLO,0301,OSLO,P,Oslo,03,0301
0130,OSLO,0301,OSLO,P,Oslo,03,0301
0131,OSLO,0301,OSLO,P,Oslo,03,0301
0132,OSLO,0301,OSLO,P,Oslo,03,0301
0133,OSLO,0301,OSLO,P,Oslo,03,0301
0134,OSLO,0301,OSLO,P,Oslo,03,0301
0135,OSLO,0301,OSLO,P,Oslo,03,0301
0136,OSLO,0301,OSLO,P,Oslo,03,0301
0138,OSLO,0301,OSLO,P,Oslo,03,0301
0139,OSLO,0301,OSLO,G,Oslo,03,0301
0140,OSLO,0301,OSLO,P,Oslo,03,0301
0150,OSLO,0301,OSLO,G,Oslo,03,0301
0151,OSLO,0301,OSLO,G,Oslo,03,0301
0152,OSLO,0301,OSLO,G,Oslo,03,0301
0153,OSLO,0301,OSLO,G,Oslo,03,0301
0154,OSLO,0301,OSLO,G,Oslo,03,0301
0155,OSLO,0301,OSLO,G,Oslo,03,0301
0157,OSLO,0301,OSLO,G,Oslo,03,0301
0158,OSLO,0301,OSLO,G,Oslo,03,0301
0159,OSLO,0301,OSLO,G,Oslo,03,0301
0160,OSLO,0301,OSLO,G,Oslo,03,0301
0161,OSLO,0301,OSLO,G,Oslo,03,0301
0162,OSLO,0301,OSLO,G,Oslo,03,0301
0164,OSLO,0301,OSLO,G,Oslo,03,0301
0165,OSLO,0301,OSLO,G,Oslo,03,0301
0166,OSLO,0301,OSLO,G,Oslo,03,0301
0167,OSLO,0301,OSLO,G,Oslo,03,0301
0168,OSLO,0301,OSLO,G,Oslo,03,0301
0169,OSLO,0301,OSLO,G,Oslo,03,0301
0170,OSLO,0301,OSLO,G,Oslo,03,0301
0171,OSLO,0301,OSLO,G,Oslo,03,0301
0172,OSLO,0301,OSLO,G,Oslo,03,0301
0173,OSLO,0301,OSLO,G,Oslo,03,0301
0174,OSLO,0301,OSLO,G,Oslo,03,0301
0175,OSLO,0301,OSLO,G,Oslo,03,0301
0176,OSLO,0301,OSLO,G,Oslo,03,0301
0177,OSLO,0301,OSLO,G,Oslo,03,0301
0178,OSLO,0301,OSLO,G,Oslo,03,0301
0179,OSLO,0301,OSLO,G,Oslo,03,0301
0180,OSLO,0301,OSLO,G,Oslo,03,0301
0181,OSLO,0301,OSLO,G,Oslo,03,0301
0182,OSLO,0301,OSLO,G,Oslo,03,0301
0183,OSLO,0301,OSLO,G,Oslo,03,0301
0184,OSLO,0301,OSLO,G,Oslo,03,0301
0185,OSLO,0301,OSLO,G,Oslo,03,0301
0186,OSLO,0301,OSLO,G,Oslo,03,0301
0187,OSLO,0301,OSLO,G,Oslo,03,0301
0188,OSLO,0301,OSLO,G,Oslo,03,0301
0190,OSLO,0301,OSLO,G,Oslo,03,0301
0191,OSLO,0301,OSLO,G,Oslo,03,0301
0192,OSLO,0301,OSLO,G,Oslo,03,0301
0193,OSLO,0301,OSLO,G,Oslo,03,0301
0194,OSLO,0301,OSLO,G,Oslo,03,0301
0195,OSLO,0301,OSLO,G,Oslo,03,0301
0196,OSLO,0301,OSLO,G,Oslo,03,0301
0198,OSLO,0301,OSLO,G,Oslo,03,0301
0201,OSLO,0301,OSLO,P,Oslo,03,0301
0202,OSLO,0301,OSLO,P,Oslo,03,0301
0203,OSLO,0301,OSLO,P,Oslo,03,0301
0204,OSLO,0301,OSLO,P,Oslo,03,0301
0207,OSLO,0301,OSLO,P,Oslo,03,0301
0208,OSLO,0301,OSLO,P,Oslo,03,0301
0211,OSLO,0301,OSLO,P,Oslo,03,0301
0212,OSLO,0301,OSLO,P,Oslo,03,0301
0213,OSLO,0301,OSLO,P,Oslo,03,0301
0214,OSLO,0301,OSLO,P,Oslo,03,0301
0215,OSLO,0301,OSLO,P,Oslo,03,0301
0216,OSLO,0301,OSLO,P,Oslo,03,0301
0217,OSLO,0301,OSLO,P,Oslo,03,0301
0218,OSLO,0301,OSLO,P,Oslo,03,0301
0230,OSLO,0301,OSLO,P,Oslo,03,0301
0240,OSLO,0301,OSLO,P,Oslo,03,0301
0244,OSLO,0301,OSLO,P,Oslo,03,0301
0247,OSLO,0301,OSLO,P,Oslo,03,0301
0250,OSLO,0301,OSLO,G,Oslo,03,0301
0251,OSLO,0301,OSLO,G,Oslo,03,0301
0252,OSLO,0301,OSLO,G,Oslo,03,0301
0253,OSLO,0301,OSLO,G,Oslo,03,0301
0254,OSLO,0301,OSLO,G,Oslo,03,0301
0255,OSLO,0301,OSLO,G,Oslo,03,0301
0256,OSLO,0301,OSLO,G,Oslo,03,0301
0257,OSLO,0301,OSLO,G,Oslo,03,0301
0258,OSLO,0301,OSLO,G,Oslo,03,0301
0259,OSLO,0301,OSLO,G,Oslo,03,0301
0260,OSLO,0301,OSLO,G,Oslo,03,0301
0262,OSLO,0301,OSLO,G,Oslo,03,0301
0263,OSLO,0301,OSLO,G,Oslo,03,0301
0264,OSLO,0301,OSLO,G,Oslo,03,0301
0265,OSLO,0301,OSLO,G,Oslo,03,0301
0266,OSLO,0301,OSLO,G,Oslo,03,0301
0267,OSLO,0301,OSLO,G,Oslo,03,0301
0268,OSLO,0301,OSLO,G,Oslo,03,0301
0270,OSLO,0301,OSLO,G,Oslo,03,0301
0271,OSLO,0301,OSLO,G,Oslo,03,0301
0272,OSLO,0301,OSLO,G,Oslo,03,0301
0273,OSLO,0301,OSLO,G,Oslo,03,0301
0274,OSLO,0301,OSLO,G,Oslo,03,0301
0275,OSLO,0301,OSLO,G,Oslo,03,0301
0276,OSLO,0301,OSLO,G,Oslo,03,0301
0277,OSLO,0301,OSLO,G,Oslo,03,0301
0278,OSLO,0301,OSLO,G,Oslo,03,0301
0279,OSLO,0301,OSLO,G,Oslo,03,0301
0280,OSLO,0301,OSLO,G,Oslo,03,0301
0281,OSLO,0301,OSLO,G,Oslo,03,0301
0282,OSLO,0301,OSLO,G,Oslo,03,0301
0283,OSLO,0301,OSLO,G,Oslo,03,0301
0284,OSLO,0301,OSLO,G,Oslo,03,0301
0286,OSLO,0301,OSLO,G,Oslo,03,0301
0287,OSLO,0301,OSLO,G,Oslo,03,0301
0301,OSLO,0301,OSLO,P,Oslo,03,0301
0302,OSLO,0301,OSLO,P,Oslo,03,0301
0303,OSLO,0301,OSLO,P,Oslo,03,0301
0304,OSLO,0301,OSLO,P,Oslo,03,0301
0305,OSLO,0301,OSLO,P,Oslo,03,0301
0306,OSLO,0301,OSLO,P,Oslo,03,0301
0307,OSLO,0301,OSLO,P,Oslo,03,0301
0308,OSLO,0301,OSLO,P,Oslo,03,0301
0309,OSLO,0301,OSLO,P,Oslo,03,0301
0311,OSLO,0301,OSLO,P,Oslo,03,0301
0313,OSLO,0301,OSLO,P,Oslo,03,0301
0314,OSLO,0301,OSLO,P,Oslo,03,0301
0315,OSLO,0301,OSLO,P,Oslo,03,0301
0316,OSLO,0301,OSLO,P,Oslo,03,0301
0317,OSLO,0301,OSLO,P,Oslo,03,0301
0318,OSLO,0301,OSLO,P,Oslo,03,0301
0319,OSLO,0301,OSLO,P,Oslo,03,0301
0323,OSLO,0301,OSLO,P,Oslo,03,0301
0330,OSLO,0301,OSLO,P,Oslo,03,0301
0340,OSLO,0301,OSLO,B,Oslo,03,0301
0349,OSLO,0301,OSLO,B,Oslo,03,0301
0350,OSLO,0301,OSLO,G,Oslo,03,0301
0351,OSLO,0301,OSLO,G,Oslo,03,0301
0352,OSLO,0301,OSLO,G,Oslo,03,0301
0353,OSLO,0301,OSLO,G,Oslo,03,0301
0354,OSLO,0301,OSLO,G,Oslo,03,0301
0355,OSLO,0301,OSLO,G,Oslo,03,0301
0356,OSLO,0301,OSLO,G,Oslo,03,0301
0357,OSLO,0301,OSLO,G,Oslo,03,0301
0358,OSLO,0301,OSLO,G,Oslo,03,0301
0359,OSLO,0301,OSLO,G,Oslo,03,0301
0360,OSLO,0301,OSLO,G,Oslo,03,0301
0361,OSLO,0301,OSLO,G,Oslo,03,0301
0362,OSLO,0301,OSLO,G,Oslo,03,0301
0363,OSLO,0301,OSLO,G,Oslo,03,0301
0364,OSLO,0301,OSLO,G,Oslo,03,0301
0365,OSLO,0301,OSLO,G,Oslo,03,0301
0366,OSLO,0301,OSLO,G,Oslo,03,0301
0367,OSLO,0301,OSLO,G,Oslo,03,0301
0368,OSLO,0301,OSLO,G,Oslo,03,0301
0369,OSLO,0301,OSLO,G,Oslo,03,0301
0370,OSLO,0301,OSLO,G,Oslo,03,0301
0371,OSLO,0301,OSLO,G,Oslo,03,0301
0372,OSLO,0301,OSLO,G,Oslo,03,0301
0373,OSLO,0301,OSLO,G,Oslo,03,0301
0374,OSLO,0301,OSLO,G,Oslo,03,0301
0375,OSLO,0301,OSLO,G,Oslo,03,0301
0376,OSLO,0301,OSLO,G,Oslo,03,0301
0377,OSLO,0301,OSLO,G,Oslo,03,0301
0378,OSLO,0301,OSLO,G,Oslo,03,0301
0379,OSLO,0301,OSLO,G,Oslo,03,0301
0380,OSLO,0301,OSLO,G,Oslo,03,0301
0381,OSLO,0301,OSLO,G,Oslo,03,0301
0382,OSLO,0301,OSLO,G,Oslo,03,0301
0383,OSLO,0301,OSLO,G,Oslo,03,0301
0401,OSLO,0301,OSLO,P,Oslo,03,0301
0402,OSLO,0301,OSLO,P,Oslo,03,0301
0403,OSLO,0301,OSLO,P,Oslo,03,0301
0404,OSLO,0301,OSLO,P,Oslo,03,0301
0405,OSLO,0301,OSLO,P,Oslo,03,0301
0406,OSLO,0301,OSLO,P,Oslo,03,0301
0409,OSLO,0301,OSLO,P,Oslo,03,0301
0410,OSLO,0301,OSLO,P,Oslo,03,0301
0411,OSLO,0301,OSLO,P,Oslo,03,0301
0412,OSLO,0301,OSLO,P,Oslo,03,0301
0413,OSLO,0301,OSLO,P,Oslo,03,0301
0415,OSLO,0301,OSLO,P,Oslo,03,0301
0421,OSLO,0301,OSLO,P,Oslo,03,0301
0422,OSLO,0301,OSLO,P,Oslo,03,0301
0423,OSLO,0301,OSLO,P,Oslo,03,0301
0424,OSLO,0301,OSLO,P,Oslo,03,0301
0440,OSLO,0301,OSLO,P,Oslo,03,0301
0441,OSLO,0301,OSLO,P,Oslo,03,0301
0442,OSLO,0301,OSLO,P,Oslo,03,0301
0445,OSLO,0301,OSLO,G,Oslo,03,0301
0450,OSLO,0301,OSLO,G,Oslo,03,0301
0451,OSLO,0301,OSLO,G,Oslo,03,0301
0452,OSLO,0301,OSLO,G,Oslo,03,0301
0454,OSLO,0301,OSLO,G,Oslo,03,0301
0455,OSLO,0301,OSLO,G,Oslo,03,0301
0456,OSLO,0301,OSLO,G,Oslo,03,0301
0457,OSLO,0301,OSLO,G,Oslo,03,0301
0458,OSLO,0301,OSLO,G,Oslo,03,0301
0459,OSLO,0301,OSLO,G,Oslo,03,0301
0460,OSLO,0301,OSLO,G,Oslo,03,0301
